entry_idx,exit_idx,entry_time,exit_time,dir,entry_price,exit_price,qty,pnl_net,equity_after,exit_reason,holding_bars,rsi_entry,pos_range_entry,vol_ratio_entry,chg_2h_before,ema50_dist,entry_type,timing,coin,week,regime
726,729,2026-01-08 13:30:00,2026-01-08 14:15:00,L,90051.60571500001,89435.18164689845,0.022212818795598752,-14.489897622760699,10056.695921694994,SL,3,43.58973316127689,0.3509011469142573,0.4697835308397012,-0.05752845326200129,-0.4843416639837416,CONTRA,MID,BTC,2026-01-05,BULL
797,800,2026-01-09 07:15:00,2026-01-09 08:00:00,L,91048.05516,90623.51750305788,0.021969716942166918,-10.12522675987829,10046.570694935117,SL,3,47.6846344598405,0.27168688487067677,0.7679667969445736,0.013519246791116046,-0.012728892531425659,FOLLOW,MID,BTC,2026-01-05,BULL
810,828,2026-01-09 10:30:00,2026-01-09 15:00:00,L,90404.55865,89834.42842231132,0.02212609662466396,-13.412353555180221,10033.158341379936,SL,18,43.28827587959901,0.5577882670262961,0.30358949798111484,0.19416357367305626,-0.3332536130213862,FOLLOW,MID,BTC,2026-01-05,BULL
833,929,2026-01-09 16:15:00,2026-01-10 16:15:00,S,91708.84161,90623.19144000001,0.021804876878762702,22.877322783915705,10056.035664163852,TIMEOUT,96,59.17719487060974,0.7035925420645734,0.819269210545874,0.9095950457227664,0.6881114926836723,CONTRA,EARLY,BTC,2026-01-05,BULL
934,952,2026-01-10 17:30:00,2026-01-10 22:00:00,S,90694.293815,90453.15009611542,0.02204879619084997,4.5181120961316665,10060.553776259983,TP,18,48.40091263193117,0.5482625482625471,1.047913908922872,0.021191444837120876,-0.012873496416762593,CONTRA,MID,BTC,2026-01-05,BULL
957,982,2026-01-10 23:15:00,2026-01-11 05:30:00,L,90484.870695,90751.23557683309,0.022106458070128315,5.087086414779434,10065.640862674763,TP,25,48.05976999306283,0.5354886659234586,0.58247256208668,-0.022977484274766535,-0.06481571660990228,CONTRA,MID,BTC,2026-01-05,BULL
999,1019,2026-01-11 09:45:00,2026-01-11 14:45:00,L,90720.80608000001,91006.34083776934,0.02204896634445777,5.494367114976056,10071.13522978974,TP,20,51.39806734014298,0.553814002089853,0.9688627179717147,0.028567016676950274,0.04087167066330281,FOLLOW,MID,BTC,2026-01-05,BULL
1025,1026,2026-01-11 16:15:00,2026-01-11 16:30:00,S,90835.672605,91166.07756869888,0.022014478922787517,-8.0750278479552,10063.060201941784,SL,1,60.2651211857342,0.6945852768201094,0.7904230006375709,0.053439538000898956,0.23962321987519883,CONTRA,EARLY,BTC,2026-01-05,BULL
1044,1052,2026-01-11 21:00:00,2026-01-11 23:00:00,L,90667.79813000001,90297.75943850506,0.022061857034754044,-8.962227960947194,10054.097973980837,SL,8,40.87737375892019,0.3223122866894302,0.5390835348096049,-0.2943292923113461,-0.17254290878306203,CONTRA,EARLY,BTC,2026-01-05,BULL
1057,1060,2026-01-12 00:15:00,2026-01-12 01:00:00,L,90888.93129500002,91709.95274732175,0.022008180440669798,17.26545443070372,10071.363428411541,TP,3,63.29466541530479,0.9210032586155819,1.496210190041648,0.5144431315829312,0.3789819440651839,FOLLOW,LATE,BTC,2026-01-12,FLAT
1071,1090,2026-01-12 03:45:00,2026-01-12 08:30:00,S,91936.30748500001,90741.37261042841,0.021750927948963623,25.196260548982814,10096.559688960524,TP,19,57.92454074116135,0.6878972629394198,0.7723408431441738,0.43362153879829,0.6374059867501193,CONTRA,EARLY,BTC,2026-01-12,FLAT
1098,1118,2026-01-12 10:30:00,2026-01-12 15:30:00,L,90533.77803,91501.11874651909,0.022094515920203447,20.568530276419708,10117.128219236944,TP,20,30.0620195721498,0.084748548263393,0.505343328502601,-0.026071701598329167,-0.83147075268881,CONTRA,EARLY,BTC,2026-01-12,FLAT
1123,1126,2026-01-12 16:45:00,2026-01-12 17:30:00,L,92140.81905,91306.76390670809,0.021709162351970648,-18.903137188517114,10098.225082048426,SL,3,71.63079306231735,0.9013882669055095,1.0724457106400556,1.349435570505264,1.016877644962672,FOLLOW,LATE,BTC,2026-01-12,FLAT
1168,1173,2026-01-13 04:00:00,2026-01-13 05:15:00,L,91394.607135,92118.20385552358,0.021886411711856638,15.033648351580574,10113.258730400006,TP,5,54.904851452073956,0.8075949367088551,0.7925629875691532,0.19002260764933165,0.13215246118718738,FOLLOW,LATE,BTC,2026-01-12,FLAT
1189,1190,2026-01-13 09:15:00,2026-01-13 09:30:00,L,92412.25976,91872.05377671334,0.02164539645708151,-12.490754082192073,10100.767976317815,SL,1,74.04555476607209,0.8848048224656243,2.792297727188269,0.5805237541840702,0.906889633767394,FOLLOW,LATE,BTC,2026-01-12,FLAT
1195,1214,2026-01-13 10:45:00,2026-01-13 15:30:00,L,92029.702385,92911.64739748693,0.021735373995146492,18.365450808619713,10119.133427126435,TP,19,54.150442662091365,0.35932872655478953,0.5758507866742208,-0.04916548908265872,0.3354470748285992,CONTRA,MID,BTC,2026-01-12,FLAT
1219,1240,2026-01-13 16:45:00,2026-01-13 22:00:00,L,93512.924835,95022.03749852686,0.021390625985974167,31.47428838328909,10150.607715509725,TP,21,65.4089220565893,0.8178827751196196,0.9138542264737156,1.0034161379786521,1.1661382203099189,FOLLOW,LATE,BTC,2026-01-12,FLAT
1274,1304,2026-01-14 06:30:00,2026-01-14 14:00:00,S,94642.70146499999,95373.92754572227,0.021128940415331584,-16.253002296175385,10134.35471321355,SL,30,43.72794973084745,0.3212581991651745,2.0029415433189985,-0.4080518307729486,0.1264072662854388,FOLLOW,MID,BTC,2026-01-12,FLAT
1334,1358,2026-01-14 21:30:00,2026-01-15 03:30:00,S,97513.270815,95835.77479827388,0.02050695236952708,33.60733098125688,10167.962044194806,TP,24,57.70464161408014,0.7233034644141308,0.2405117572798201,0.14068383235503745,1.0044279430904017,CONTRA,EARLY,BTC,2026-01-12,FLAT
1372,1382,2026-01-15 07:00:00,2026-01-15 09:30:00,S,96180.77072,96811.83583189992,0.020791058181697217,-13.923015560242156,10154.039028634565,SL,10,42.92325734664452,0.503504811690614,0.5829214361888507,-0.06319003676039658,-0.25442695695128603,FOLLOW,MID,BTC,2026-01-12,FLAT
1387,1402,2026-01-15 10:45:00,2026-01-15 14:30:00,S,96713.990725,95855.93808354138,0.020676429387409087,16.94513314476937,10170.984161779334,TP,15,56.394044372092594,0.6202016285381924,0.456349428910025,0.1728846476362511,0.25044965686093074,CONTRA,MID,BTC,2026-01-12,FLAT
1407,1408,2026-01-15 15:45:00,2026-01-15 16:00:00,S,95817.325245,96955.45772701959,0.0208699209134347,-24.557365435737687,10146.426796343596,SL,1,53.592856274715736,0.7743913222896914,5.017048910363826,-0.08646604890445442,0.2133772852904893,FOLLOW,MID,BTC,2026-01-12,FLAT
1431,1450,2026-01-15 21:45:00,2026-01-16 02:30:00,S,95439.581915,95650.44541500001,0.02095252263134351,-5.218885880325619,10141.20791046327,SIGNAL_FLIP,19,43.308704318358785,0.23648099207156004,0.4320160831383672,0.07971157189963218,-0.5332097200500445,CONTRA,LATE,BTC,2026-01-12,FLAT
1464,1496,2026-01-16 06:00:00,2026-01-16 14:00:00,S,95601.557615,95414.41001500002,0.020917023214758215,3.1154736079246663,10144.323384071195,SIGNAL_FLIP,32,52.84834419039558,0.6437876453284704,1.9558522673189234,0.18271129728166802,-0.06592135281570642,CONTRA,MID,BTC,2026-01-12,FLAT
1501,1502,2026-01-16 15:15:00,2026-01-16 15:30:00,L,95549.030205,94833.22298591606,0.020934801700324596,-15.782405130745751,10128.54097894045,SL,1,34.49011274502521,0.03154714298409305,5.733235732851932,-0.8387623855709458,-0.8301794615909224,CONTRA,EARLY,BTC,2026-01-12,FLAT
1507,1578,2026-01-16 16:45:00,2026-01-17 10:30:00,L,94864.22750000001,95183.020405,0.021085925144965736,5.920578922909748,10134.461557863358,SIGNAL_FLIP,71,41.43123617562509,0.38737324174027205,0.41831026870812643,-0.3262663317111003,-0.5044992696424244,CONTRA,MID,BTC,2026-01-12,FLAT
1583,1594,2026-01-17 11:45:00,2026-01-17 14:30:00,S,95258.10914,95466.97347556932,0.020992438523643783,-5.185328638565505,10129.276229224793,SL,11,57.56181151123356,0.9896640826873011,1.1586912738190251,0.06763320538334394,0.06480295019743111,CONTRA,EARLY,BTC,2026-01-12,FLAT
1599,1626,2026-01-17 15:45:00,2026-01-17 22:30:00,S,95526.26891000001,95119.27016121864,0.020933508895694605,7.721735910537175,10136.997965135331,TP,27,70.69480719768801,0.841440518859882,0.925139348134152,0.13553501740570795,0.240776818751327,CONTRA,EARLY,BTC,2026-01-12,FLAT
1660,1681,2026-01-18 07:00:00,2026-01-18 12:15:00,S,95127.828685,95095.26215000001,0.021021188306753792,-0.11515581781375789,10136.882809317518,SIGNAL_FLIP,21,43.37210827904399,0.5336257309941597,1.025312633409344,-0.02629638550921687,-0.0951758801222512,FOLLOW,MID,BTC,2026-01-12,FLAT
1741,1797,2026-01-19 03:15:00,2026-01-19 17:15:00,L,92711.40462500001,93290.0044,0.02157555489630249,11.680994486258966,10148.563803803778,SIGNAL_FLIP,56,29.004960310809903,0.19120277521816886,0.32162749383064987,-0.006918028923841302,-1.6088555189792182,CONTRA,EARLY,BTC,2026-01-19,BULL
1802,1820,2026-01-19 18:30:00,2026-01-19 23:00:00,S,92928.958565,92247.59507857218,0.021518588294533528,13.86503273943678,10162.428836543215,TP,18,51.26331682443999,0.5777468706536776,0.9437124276800181,-0.10743167463550529,-0.0072898421424647235,FOLLOW,MID,BTC,2026-01-19,BULL
1825,1844,2026-01-20 00:15:00,2026-01-20 05:00:00,S,92645.401105,91770.73777490221,0.02158444969905881,18.083022477437325,10180.511859020653,TP,19,34.901537884816534,0.26151659560237556,1.2038296987851316,-0.5627641823351515,-0.5324512225016527,FOLLOW,LATE,BTC,2026-01-19,BULL
1849,1883,2026-01-20 06:15:00,2026-01-20 14:45:00,S,91411.786175,90282.34090404479,0.021875734887968894,23.91250680695002,10204.424365827603,TP,34,24.846929668411136,0.20577364898611558,4.037315277254168,-1.1314342806923672,-1.2773361483259855,FOLLOW,LATE,BTC,2026-01-19,BULL
1893,1910,2026-01-20 17:15:00,2026-01-20 21:30:00,S,90408.03676,89600.83811,0.022118608827979155,17.057802008060147,10221.482167835662,SIGNAL_FLIP,17,37.712210622624326,0.2296500196618125,0.3620495264203335,-0.4675857958120422,-0.9881233040072357,FOLLOW,LATE,BTC,2026-01-19,BULL
1915,1920,2026-01-20 22:45:00,2026-01-21 00:00:00,L,88564.182635,88377.441395,0.022585879985409524,-5.016991691919632,10216.465176143742,SIGNAL_FLIP,5,27.149915937027234,0.3189558383233538,1.2024332897903383,-1.373451800983272,-1.8299367102559032,CONTRA,EARLY,BTC,2026-01-19,BULL
1925,1942,2026-01-21 01:15:00,2026-01-21 05:30:00,S,89034.542815,89912.21712951572,0.022459822185587758,-20.516231522688948,10195.948944621052,SL,17,47.75455257819556,0.6098291437549116,0.6352390588016412,1.0820163880635336,-0.6617438962169788,CONTRA,MID,BTC,2026-01-19,BULL
1947,1957,2026-01-21 06:45:00,2026-01-21 09:15:00,S,89562.263645,89258.286735,0.022327483904675042,5.988516973330883,10201.937461594383,SIGNAL_FLIP,10,55.05105085439726,0.5904413047270161,0.9225683086732243,0.24384678368329915,0.08622899162087096,CONTRA,MID,BTC,2026-01-19,BULL
1963,1968,2026-01-21 10:45:00,2026-01-21 12:00:00,S,89260.508915,88422.410082096,0.022402964360244148,17.97977346356725,10219.91723505795,TP,5,46.58754209789674,0.2789088356233118,0.2966231490703638,0.045535910561200765,-0.22318510249603943,CONTRA,LATE,BTC,2026-01-19,BULL
1978,1986,2026-01-21 14:30:00,2026-01-21 16:30:00,L,89565.132755,88657.5788803166,0.022333467706364032,-21.064891386996674,10198.852343670953,SL,8,61.83760465038452,0.8228195873511859,3.038329793423653,1.193041793717109,0.482187078236764,FOLLOW,LATE,BTC,2026-01-19,BULL
2006,2102,2026-01-21 21:30:00,2026-01-22 21:30:00,S,90024.59428500001,89360.50206500001,0.022212818795598752,13.954430418456317,10212.80677408941,TIMEOUT,96,62.44324077161609,0.9340181868967427,0.22842738390804357,0.22574817968310512,1.085412156173386,CONTRA,EARLY,BTC,2026-01-19,BULL
2131,2146,2026-01-23 04:45:00,2026-01-23 08:30:00,S,89922.409615,89281.59715198763,0.022238060663205685,13.453396511492437,10226.260170600903,TP,15,59.231894178148785,0.8038461538461539,0.9448595984991707,0.34738961201279395,0.3060933608233776,CONTRA,EARLY,BTC,2026-01-19,BULL
2151,2154,2026-01-23 09:45:00,2026-01-23 10:30:00,S,88965.65315,89083.660545,0.0224772137245867,-3.4528879339845986,10222.807282666918,SIGNAL_FLIP,3,28.860750767126692,0.08337197440414906,1.468604668364269,-0.6227010453958348,-0.624242389904767,FOLLOW,LATE,BTC,2026-01-19,BULL
2159,2170,2026-01-23 11:45:00,2026-01-23 14:30:00,L,89224.98174000002,88782.06886692885,0.022418609239157238,-10.727624730249273,10212.079657936669,SL,11,43.63103375013379,0.4190556492411412,0.40492648088537625,0.2600632561988503,-0.25153793494610244,FOLLOW,MID,BTC,2026-01-19,BULL
2175,2178,2026-01-23 15:45:00,2026-01-23 16:30:00,S,89206.117075,90036.36623111881,0.02241662416848335,-19.414985575575542,10192.664672361094,SL,3,60.88565296773795,0.8967506832675369,2.74761600524131,0.44854698098544254,0.4470956729529743,CONTRA,EARLY,BTC,2026-01-19,BULL
2197,2265,2026-01-23 21:15:00,2026-01-24 14:15:00,S,89547.065925,89443.61453,0.022331273273373864,1.510783412531114,10194.175455773626,SIGNAL_FLIP,68,44.15953842640176,0.19026287289554056,0.16771285651418547,-0.2738429328700498,-0.21098736861930495,FOLLOW,LATE,BTC,2026-01-19,BULL
2290,2310,2026-01-24 20:30:00,2026-01-25 01:30:00,S,89349.295595,89094.6183682019,0.02238070246310821,4.901115208145216,10199.076570981772,TP,20,48.27950165634255,0.7152124554005771,0.1903603970600012,-0.044530372399231855,-0.0851462937516611,FOLLOW,MID,BTC,2026-01-19,BULL
2315,2328,2026-01-25 02:45:00,2026-01-25 06:00:00,S,89095.23371,88780.73889692975,0.022444522750890487,6.2602177241897685,10205.336788705961,TP,13,41.1067551947436,0.1901694106418486,0.6339941199731789,-0.1912054456027712,-0.21046907286196107,FOLLOW,LATE,BTC,2026-01-19,BULL
2333,2338,2026-01-25 07:15:00,2026-01-25 08:30:00,S,88677.29641000001,88238.53634526605,0.022550304090850664,9.096271717248582,10214.43306042321,TP,5,39.48130889543416,0.26929982046678635,0.47361985247637073,-0.2219064620420763,-0.3592158359768342,FOLLOW,LATE,BTC,2026-01-19,BULL
2343,2356,2026-01-25 09:45:00,2026-01-25 13:00:00,S,88434.93277,88802.56073971823,0.0226121051643787,-9.114384881098232,10205.31867554211,SL,13,34.50851687518403,0.29814198260122876,0.5926246361043399,-0.3031694578490618,-0.5784067493494176,FOLLOW,LATE,BTC,2026-01-19,BULL
2361,2368,2026-01-25 14:15:00,2026-01-25 16:00:00,S,88828.373745,88228.63163453345,0.022511951032004117,12.70418529565843,10218.02286083777,TP,7,49.45588627153687,0.5812392695489339,2.067045516889865,0.03260014957717772,-0.10490850605368975,CONTRA,MID,BTC,2026-01-19,BULL
2373,2378,2026-01-25 17:15:00,2026-01-25 18:30:00,S,87808.22679,86863.15689451969,0.022773492565593353,20.726966747134625,10238.749827584905,TP,5,31.808728966470458,0.23726924416578982,0.8078175015636077,-0.9641800298734626,-0.8041835047903311,FOLLOW,LATE,BTC,2026-01-19,BULL
2383,2405,2026-01-25 19:45:00,2026-01-26 01:15:00,S,86654.19992,87644.88024022238,0.02307678106596267,-23.666165198700924,10215.083662386203,SL,22,26.62682023905323,0.13672157340129895,1.5802157448178042,-1.5781079779659146,-1.8637415969245785,FOLLOW,LATE,BTC,2026-01-19,BULL
2414,2438,2026-01-26 03:30:00,2026-01-26 09:30:00,L,87413.41004500001,87746.935985,0.022883216647997775,6.830499913478381,10221.914162299681,SIGNAL_FLIP,24,51.79692735555176,0.6788401831289786,0.660394974990293,-0.38721704576440974,-0.05641059805663869,CONTRA,MID,BTC,2026-01-26,BEAR
